Id;Nazwa;Wzrost;Waga;Data powstania
105;spoldzielnia;289;190;2014-03-23
106;debniak-maslach;161;56;2005-05-16
107;ppuh;214;136;2021-08-08
108;spoldzielnia;139;126;2007-02-16
109;fpuh;128;200;2007-07-29
110;branka-strzelczak;180;150;2006-07-02
111;taczala-masny;104;116;2010-10-30
112;ppuh;110;87;2022-02-03
113;fundacja;280;136;2021-10-11
114;fpuh;226;120;2013-05-27
115;stempel;130;154;2008-03-18
116;ppuh;214;97;2016-04-21
117;ppuh;256;136;2004-08-05
118;kosno-garncarek;235;86;2004-12-31
119;rozak;192;107;2020-06-18
120;gonsior-kowaluk;204;59;2012-01-31
121;slomiany-kesek;213;181;2021-08-19
122;stowarzyszenie;133;86;2022-01-11
123;fpuh;275;136;2007-11-01
124;bicz;156;90;2006-06-15
125;spoldzielnia;287;171;2006-02-28
126;spoldzielnia;228;193;2015-04-22
127;ppuh;129;139;2010-12-13
128;stowarzyszenie;256;69;2013-04-30
129;fpuh;223;93;2019-06-03
130;spoldzielnia;119;128;2021-07-17
131;stowarzyszenie;292;81;2004-10-17
132;fundacja;199;183;2022-10-20
133;fpuh;290;77;2016-12-23
134;spoldzielnia;135;151;2021-01-27
135;ppuh;168;110;2017-08-24
136;fpuh;212;83;2020-03-22
137;stowarzyszenie;115;94;2020-01-02
138;fpuh;257;156;2007-04-10
139;fpuh;102;119;2007-04-17
140;fpuh;127;135;2014-05-12
141;piskor-scieszka;289;146;2017-07-15
142;leoniak-bros;158;112;2007-09-17
143;kapral-lejk;187;146;2019-01-23
144;spoldzielnia;274;71;2023-08-01
145;buchholz-gasik;150;178;2024-02-05
146;kulczak-soczewka;197;170;2016-11-24
147;fundacja;235;118;2017-06-11
148;jany-salwin;283;73;2011-03-05
149;stowarzyszenie;278;104;2013-01-08
150;ppuh;112;165;2017-01-10
151;ppuh;109;115;2014-11-08
152;gabinety;190;157;2005-10-27
153;spoldzielnia;261;70;2007-12-25
154;gabinety;256;135;2010-03-05
155;gabinety;299;123;2013-10-18
156;spoldzielnia;228;164;2008-10-30
157;sondej-perczak;145;158;2013-09-25
158;spoldzielnia;214;121;2020-09-03
159;grupa;260;121;2012-04-24
160;fundacja;127;59;2020-10-12
161;ppuh;265;66;2011-10-29
162;grupa;116;178;2023-05-03
163;demianczuk-woronko;269;50;2022-10-19
164;spoldzielnia;209;50;2020-12-01
165;gabinety;198;164;2018-12-20
166;obuchowicz-brodka;180;62;2013-03-21
167;fundacja;140;200;2012-10-14
168;koscielak;220;61;2008-08-22
169;fundacja;235;64;2015-11-28
170;gabinety;158;134;2018-06-17
171;fpuh;148;194;2020-02-15
172;spoldzielnia;101;90;2012-06-19
173;ppuh;256;193;2008-09-26
174;fundacja;296;160;2015-12-26
175;wegrzynowicz-merda;272;80;2008-12-14
176;ppuh;256;193;2005-08-23
177;gabinety;121;187;2009-03-14
178;grupa;279;117;2010-04-04
179;rolak-sereda;136;186;2006-11-16
180;grupa;110;70;2015-04-02
181;luszczak;223;66;2010-09-14
182;budzyn-berus;244;80;2024-02-23
183;ppuh;141;171;2007-12-30
184;grupa;258;66;2008-02-25
185;spoldzielnia;103;160;2006-09-30
186;fundacja;171;74;2005-06-01
187;seweryniak;116;128;2017-03-31
188;luberda-kruzel;300;115;2010-09-13
189;ppuh;156;141;2010-11-16
190;fundacja;290;135;2011-02-15
191;piechna-syslo;179;131;2020-04-15
192;bochnak-smetek;174;176;2014-08-23
193;niebudek-kornak;203;84;2019-09-26
194;ludwiniak;227;165;2010-08-21
195;heczko;229;83;2008-12-10
196;praczyk;277;107;2019-03-07
197;gabinety;121;67;2016-03-27
198;gabinety;109;144;2017-07-05
199;ppuh;269;68;2009-09-23
200;stowarzyszenie;286;76;2021-05-13
