Id;Artykul id;Klient id;Liczba kg;Data zamowienia
152;39;1;2;2021-12-28
153;55;21;7;2021-07-11
154;4;31;40;2023-03-11
155;59;66;29;2021-11-23
156;16;79;43;2022-10-02
157;1;84;34;2019-05-21
158;42;97;22;2019-10-09
159;27;77;13;2021-05-12
160;35;35;27;2021-09-24
161;60;60;15;2023-05-04
162;20;43;50;2022-07-22
163;48;19;14;2022-11-08
164;27;80;3;2020-04-03
165;2;100;24;2022-11-10
166;16;46;13;2022-03-24
167;29;19;10;2020-06-10
168;23;18;34;2019-09-25
169;13;37;27;2020-07-08
170;47;12;49;2019-12-02
171;59;38;10;2020-01-20
172;12;51;1;2021-07-09
173;29;7;42;2022-09-08
174;48;35;25;2019-05-31
175;11;30;22;2020-12-23
176;10;31;1;2019-06-19
177;19;43;42;2022-07-12
178;37;82;25;2021-05-01
179;51;95;24;2022-11-29
180;31;37;20;2020-11-26
181;32;90;35;2022-08-30
182;28;79;6;2023-08-03
183;48;30;17;2019-09-14
184;29;12;14;2021-10-10
185;34;63;11;2022-02-03
186;36;30;16;2021-09-13
187;39;47;22;2021-11-14
188;46;71;8;2020-01-14
189;23;29;21;2022-08-27
190;37;75;14;2023-01-17
191;11;27;13;2023-09-22
192;40;15;49;2021-01-17
193;12;23;47;2023-05-24
194;58;12;17;2024-04-03
195;15;29;32;2020-04-06
196;36;12;28;2020-12-30
197;58;31;18;2024-04-01
198;3;35;42;2022-11-26
199;54;82;33;2021-07-27
200;28;98;50;2021-11-01
