Owoc Sztuki
Agrest 2
Aronia 9
Gruszka 6
Daktyl 8
Poziomka 7
Mango 7
Porzeczka 1
Awokado 1
Nektarynka 2
Banan 1
Gruszka 3
Agrest 10
Agrest 3
Brzoskwinia 3
Aronia 5
Papaja 6
Porzeczka 4
Limonka 5
Arbuz 8
Porzeczka 9
Gruszka 1
Banan 10
Morela 7
Nektarynka 4
Poziomka 6
Figa 9
Figa 2
Awokado 3
Kaki 6
Poziomka 7
Mango 5
Opuncja 6
Pigwa 6
Rokitnik 9
Awokado 8
Mandarynka 2
Agrest 7
Winogrono 9
Malina 10
Mandarynka 10
Liczi 10
Truskawka 2
Papaja 9
Banan 2
Papaja 3
Cytryna 3
Aronia 5
Guawa 10
Opuncja 6
Arbuz 3
Aronia 3
Aronia 3
Poziomka 4
Gruszka 10
Brzoskwinia 5
Gruszka 7
Cytryna 7
Liczi 10
Renkloda 3
Nektarynka 5
Jagoda 8
Cytryna 4
Winogrono 10
Granat 4
Guawa 7
Daktyl 7
Mandarynka 8
Arbuz 4
Morela 6
Arbuz 5
Mango 6
Brzoskwinia 10
Truskawka 10
Kaki 4
Cytryna 7
Grejpfrut 3
Mango 1
Renkloda 4
Aronia 3
Kokos 9
Jagoda 6
Cytryna 4
Opuncja 7
Poziomka 7
Awokado 3
Truskawka 10
Papaja 10
Arbuz 5
Aronia 4
Malina 4
Liczi 8
Daktyl 1
Daktyl 9
Daktyl 5
Brzoskwinia 1
Cytryna 9
Kaki 3
Ananas 6
Grejpfrut 6
Daktyl 4
Porzeczka 3
Rokitnik 7
Morela 6
Cytryna 4
Malina 9
Grejpfrut 5
Nektarynka 3
Jagoda 3
Arbuz 5
Banan 9
Porzeczka 6
Nektarynka 9
Renkloda 5
Ananas 6
Cytryna 7
Mandarynka 2
Truskawka 10
Brzoskwinia 3
Winogrono 2
Banan 1
Kaki 2
Tarnina 1
Papaja 7
Ananas 1
Granat 6
Liczi 6
Daktyl 7
Mandarynka 5
Aronia 3
Arbuz 8
Winogrono 1
Truskawka 1
Gruszka 4
Malina 7
Agrest 8
Brzoskwinia 1
Figa 4
Nektarynka 8
Kumkwat 9
Mandarynka 2
Kumkwat 1
Liczi 9
Banan 9
Aronia 8
Kiwi 8
Brzoskwinia 2
Awokado 2
Kokos 3
Agrest 10
Kokos 8
Rokitnik 5
Kaki 2
Granat 7
Mandarynka 4
Kaki 9
Mandarynka 2
Papaja 1
Porzeczka 10
Kiwi 2
Arbuz 3
Guawa 2
Jagoda 6
Kiwi 1
Brzoskwinia 2
Winogrono 2
Limonka 1
Porzeczka 2
Liczi 6
Daktyl 4
Kumkwat 7
Renkloda 4
Truskawka 4
Malina 10
Kaki 9
Nektarynka 7
Tarnina 1
Renkloda 7
Gruszka 4
Brzoskwinia 10
Kiwi 7
Nektarynka 3
Porzeczka 1
Ananas 6
Agrest 7
Daktyl 10
Mango 1
Tarnina 5
Awokado 9
Malina 9
Arbuz 6
Daktyl 4
Winogrono 2
Ananas 2
Kiwi 5
Mango 10
Arbuz 9
Banan 1
Kaki 9
Morela 2
Gruszka 2
Pigwa 7
Papaja 6
Pigwa 3
Morela 6
Opuncja 10
Guawa 2
Tarnina 1
Malina 10
Kumkwat 10
Truskawka 6
Morela 1
Banan 2
Daktyl 5
Guawa 4
Ananas 5
Mandarynka 3
Brzoskwinia 4
Brzoskwinia 3
Malina 5
Daktyl 2
Brzoskwinia 2
Gruszka 5
Morela 3
Pigwa 5
Arbuz 3
Guawa 8
Awokado 7
Pigwa 6
Limonka 5
Limonka 5
Porzeczka 9
Kumkwat 10
Renkloda 2
Kaki 9
Aronia 5
Gruszka 7
Mango 4
Grejpfrut 8
Mandarynka 6
Brzoskwinia 4
Pigwa 7
Banan 4
Truskawka 1
Melon 4
Porzeczka 3
Mandarynka 6
Malina 1
Renkloda 1
Papaja 2
Poziomka 3
Banan 1
Mango 8
Winogrono 7
Mandarynka 6
Tarnina 9
Renkloda 3
Mango 4
Banan 4
Pigwa 10
Grejpfrut 3
Aronia 5
Liczi 9
Tarnina 8
Ananas 2
Brzoskwinia 8
Liczi 5
Kumkwat 10
Grejpfrut 5
Kokos 10
Melon 1
Winogrono 6
Morela 8
Kiwi 7
Kumkwat 4
Pigwa 5
Kiwi 2
Kumkwat 5
Melon 7
Mango 9
Kokos 1
Daktyl 9
Pigwa 4
Agrest 5
Banan 9
Aronia 1
Papaja 9
Rokitnik 8
Winogrono 10
Cytryna 10
Ananas 6
Guawa 2
Kiwi 8
Limonka 1
Renkloda 10
Porzeczka 3
Poziomka 5
Banan 8
Figa 2
Mandarynka 8
Mandarynka 2
Melon 4
Arbuz 7
Figa 7
Winogrono 2
Mandarynka 8
Mandarynka 1
Opuncja 4
Limonka 10
Tarnina 1
Pigwa 4
Liczi 5
Porzeczka 10
Liczi 8
Opuncja 4
Gruszka 9
Papaja 3
Porzeczka 6
Opuncja 6
Kaki 9
Poziomka 5
Arbuz 10
Daktyl 1
Nektarynka 3
Mango 10
Gruszka 7
Figa 2
Renkloda 9
Poziomka 7
Rokitnik 6
Poziomka 3
Guawa 7
Cytryna 6
Opuncja 9
Arbuz 2
Malina 5
Pigwa 4
Grejpfrut 9
Figa 3
Kaki 1
Arbuz 10
Tarnina 10
Banan 9
Agrest 7
Gruszka 7
Jagoda 9
Papaja 8
Brzoskwinia 10
Awokado 2
Rokitnik 3
Kiwi 6
Mango 4
Porzeczka 8
Arbuz 1
Aronia 2
Nektarynka 3
Mango 6
Aronia 6
Kaki 8
Grejpfrut 4
Morela 10
Kiwi 10
Nektarynka 2
Liczi 3
Papaja 4
Renkloda 7
Rokitnik 3
Renkloda 8
Kiwi 1
Brzoskwinia 4
Winogrono 5
Malina 2
Kaki 7
Granat 4
Liczi 1
Cytryna 4
Limonka 2
Brzoskwinia 3
Gruszka 4
Tarnina 4
Ananas 9
Winogrono 5
Kaki 3
Porzeczka 4
Kokos 9
Grejpfrut 4
Morela 3
Aronia 10
Kokos 7
Daktyl 7
Kokos 2
Liczi 6
Poziomka 4
Nektarynka 1
Malina 10
Papaja 6
Kokos 6
Aronia 8
Brzoskwinia 1
Gruszka 4
Jagoda 3
Mango 8
Truskawka 6
Kumkwat 3
Poziomka 3
Banan 10
Mango 8
Arbuz 3
Nektarynka 2
Awokado 5
Mango 7
Banan 8
Tarnina 10
Banan 9
Cytryna 10
Mango 5
Mandarynka 3
Liczi 5
Jagoda 7
Morela 6
Liczi 1
Figa 8
Agrest 4
Aronia 3
Malina 7
Malina 10
Agrest 1
Banan 10
Renkloda 1
Awokado 6
Truskawka 7
Pigwa 1
Cytryna 7
Winogrono 8
Granat 8
Melon 9
Nektarynka 4
Morela 5
Aronia 4
Daktyl 3
Tarnina 2
Opuncja 10
Jagoda 10
Tarnina 8
Arbuz 9
Malina 3
Awokado 8
Winogrono 9
Pigwa 10
Kokos 3
Daktyl 9
Kokos 4
Porzeczka 7
Nektarynka 9
Kumkwat 8
Papaja 2
Cytryna 3
Liczi 3
Mandarynka 2
Figa 3
Rokitnik 5
Jagoda 5
Awokado 5
Truskawka 5
Arbuz 4
Morela 10
Kaki 1
Ananas 6
Limonka 7
Porzeczka 3
Papaja 8
Kiwi 4
Kiwi 9
Rokitnik 7
Morela 5
Limonka 3
Banan 8
Arbuz 3
Morela 8
Gruszka 2
Cytryna 9
Granat 2
Grejpfrut 9
Jagoda 5
Truskawka 4
Brzoskwinia 8
Malina 10
Awokado 10
Porzeczka 10
Liczi 3
Opuncja 2
Guawa 3
Arbuz 6
Daktyl 6
Kiwi 6
Pigwa 4
Brzoskwinia 3
Daktyl 4
Tarnina 1
Figa 2
Gruszka 3
Gruszka 5
Tarnina 9
Tarnina 9
Papaja 2
Nektarynka 3
Arbuz 9
Liczi 6
Mango 7
Banan 1
Winogrono 5
Poziomka 7
Kumkwat 1
Kaki 6
Jagoda 6
Melon 3
Kumkwat 6
Tarnina 10
Malina 7
Mandarynka 1
Kumkwat 5
Melon 4
Kokos 10
Winogrono 5
Truskawka 7
Granat 7
Gruszka 3
Melon 2
Awokado 8
Winogrono 5
Aronia 3
Limonka 6
Mandarynka 7
Banan 5
Opuncja 3
Limonka 8
Banan 8
Arbuz 8
Kokos 4
Porzeczka 10
Guawa 8
Rokitnik 9
Daktyl 10
Renkloda 8
Kokos 2
Papaja 4
Ananas 6
Rokitnik 3
Mandarynka 6
Papaja 5
Jagoda 2
Aronia 8
Winogrono 8
Porzeczka 2
Malina 5
Kiwi 10
Guawa 10
Kumkwat 6
Limonka 3
Jagoda 6
Winogrono 7
Papaja 9
Nektarynka 3
Malina 2
Kumkwat 8
Cytryna 1
Pigwa 7
Aronia 7
Ananas 5
Mango 8
Guawa 8
Cytryna 10
Arbuz 5
Grejpfrut 3
Arbuz 3
Opuncja 2
Mango 10
Arbuz 5
Limonka 8
Jagoda 10
Renkloda 7
Cytryna 4
Kaki 7
Banan 6
Malina 9
Melon 10
Limonka 5
Banan 3
Nektarynka 4
Truskawka 7
Figa 10
Kumkwat 4
Melon 8
Limonka 9
Kaki 7
Porzeczka 8
Kiwi 5
Porzeczka 9
Gruszka 1
Winogrono 7
Arbuz 9
Figa 5
Winogrono 7
Kumkwat 1
Mandarynka 9
Granat 9
Jagoda 9
Nektarynka 8
Pigwa 6
Malina 8
Aronia 4
Rokitnik 2
Renkloda 3
Malina 4
Mandarynka 7
Malina 6
Winogrono 1
Mandarynka 1
Gruszka 5
Brzoskwinia 9
Aronia 10
Tarnina 4
Brzoskwinia 2
Granat 2
Mango 2
Porzeczka 8
Kiwi 10
Ananas 2
Nektarynka 6
Banan 9
Mandarynka 9
Melon 1
Nektarynka 4
Renkloda 8
Morela 2
Granat 9
Renkloda 7
Opuncja 3
Granat 6
Nektarynka 3
Kumkwat 8
Pigwa 8
Agrest 5
Jagoda 2
Guawa 6
Morela 5
Opuncja 3
Poziomka 10
Tarnina 2
Papaja 2
Limonka 10
Ananas 6
Kokos 8
