Kraj	2011	2012	2013	2014	2015	2016	2017	2018
Bermuda	6312691000,00	6378188000,00	6465756000,00	6413988000,00	6654541000,00	6899911000,00	7142316000,00	7224329000,00
Bolivia	23963033430,60	27084497482,86	30659338880,38	32996188012,68	33000198248,34	33941126200,06	37508642165,34	40287647930,48
Brazil	2616200980392,16	2465188674415,03	2472806919901,67	2455993625159,37	1802214373741,32	1795700168991,49	2062831045935,95	1885482534238,33
Barbados	4657500000,00	4610000000,00	4677000000,00	4696500000,00	4715000000,00	4830000000,00	4978000000,00	5086500000,00
Brunei Darussalam	18525319977,74	19047940300,90	18093829923,27	17098342541,44	12930394937,81	11400854267,72	12128104859,15	13567351175,03
Bhutan	1777101316,68	1781281281,58	1756215665,09	1907090813,46	2003598212,99	2158972129,00	2450364928,07	2446866404,93
Botswana	15351972361,15	14380004175,12	14901750991,20	16250781586,66	14420593484,06	15646354089,46	17405588070,43	18663265549,02
Central African Republic	2437982839,63	2510126699,05	1691544192,38	1894813504,53	1695825708,46	1825018190,85	2072350151,13	2220978978,17
Canada	1788647906047,76	1828689329348,99	1847208522155,34	1803533209844,65	1556129524418,21	1528243213982,08	1649878054226,82	1716262621082,22
Central Europe and the Baltics	1449107473075,26	1352688633437,44	1422193604145,12	1464899669967,39	1292086768710,81	1320631381338,53	1463498188698,06	1644435698536,64
Switzerland	699579638413,01	668043613696,29	688504173431,45	709182559935,30	679832292004,98	671309197478,18	679950481622,84	705140620046,70
Chile	252251992029,44	267122320056,70	278384345259,38	260541629960,66	243919085308,94	250440136356,13	277044950259,01	298258019275,05
China	7551500124203,36	8532229986993,65	9570406235659,64	10475682920594,50	11061553079876,40	11233276536737,20	12310409370892,80	13894817549374,20
Cote d'Ivoire	25414875503,08	26789047554,60	31273074527,70	35363533865,73	45814637971,47	47964234560,05	51588158717,53	58011466450,86
Cameroon	29375448542,45	29102772799,00	32357345500,99	34989493826,22	30928653813,85	32643697595,84	35009262788,15	38694156862,99
Congo, Dem, Rep,	25839749198,82	29306235826,39	32679745297,65	35909040265,93	37917704900,08	37134799974,52	38019265625,88	46831342212,55
Congo, Rep,	15655384440,40	17692912613,16	17958721571,75	17783526317,89	11953249529,74	10335424288,43	11198674674,38	13518403446,96
Colombia	334943871931,75	370921320483,84	382116126448,56	381112119657,45	293481748240,78	282825009887,46	311883730690,13	333568923004,47
Comoros	1023086183,80	1015843368,79	1116224161,08	1149587651,69	966029542,04	1012835518,26	1077439662,58	1178530757,72
Cabo Verde	1865915544,12	1741809808,96	1850470042,43	1859898513,27	1596800287,16	1662998678,37	1769787215,15	1966983316,57
Costa Rica	42262697840,39	46473128285,56	49745088111,70	50577769837,75	54775994478,51	57157992434,18	58481858042,57	60553901420,09
Caribbean small states	69668274255,62	72051118641,76	73417589878,41	74433668499,32	72828471570,55	69191343076,23	71452564226,35	74967267520,17
Cuba	68990000000,00	73141000000,00	77148000000,00	80656000000,00	87133000000,00	91370000000,00	96851000000,00	100023000000,00
Curacao	3038699608,94	3131096089,39	3147616201,12	3158406033,52	3151910782,12	3122287932,96	3116610111,73	3127908044,69
Cayman Islands	4186223864,84	4291158967,91	4405954696,16	4563017851,62	4708336756,09	4909498942,67	5153091157,77	5517361237,63
Cyprus	27565469098,00	24978513426,70	23900872625,85	23156850006,64	19842404304,89	20953442550,37	22729184365,12	25309818138,88
Czech Republic	229562733398,95	208857719320,65	211685616592,93	209358834156,33	188033050459,88	196272068576,34	218628940951,68	248908731817,50
Germany	3744408602683,94	3527344944139,83	3732743446218,92	3883920155292,26	3356235704119,75	3467498002104,33	3682602479929,42	3963767526250,98
Djibouti	1239144501,78	1353632941,52	2042817162,86	2214681573,57	2430287967,03	2603554906,59	2751461055,59	3012820409,63
Dominica	501025925,93	485996296,30	498296296,30	520207407,41	540737037,04	576229629,63	519837037,04	551074074,07
Denmark	344003137611,27	327148943812,14	343584391647,93	352993631617,71	302673070846,86	313115929314,34	332121063806,39	356879499797,90
Dominican Republic	58029750744,38	60681537194,71	62682163837,65	67179914026,28	71164825257,74	75704720189,62	79997975622,76	85555378043,80
Algeria	200254371997,26	209021250805,93	209724351221,97	213860450595,83	166361491140,75	159994837855,12	170163165960,52	175405660377,36
East Asia & Pacific (excluding high income)	9620273762794,09	10727640354235,60	11835629991510,10	12761629787232,40	13294602254117,50	13575794190520,20	14835961478596,20	16594146987960,90
Early-demographic dividend	9613820765240,14	10081635886117,60	10259814437389,40	10620471211777,00	10311638541292,50	10550444704869,40	11399719349294,50	11645984950915,10
East Asia & Pacific	19687376400049,30	21072075411804,30	21318560290646,40	22002182897791,70	21911638600129,50	22658589044442,60	24222685964338,30	26351346134237,60
Europe & Central Asia (excluding high income)	3660261685135,84	3904070673139,40	4139016998710,19	3841761017808,30	2916638590939,38	2773218419978,23	3114811233223,44	3192144799381,44
Europe & Central Asia	23249955211795,00	22412505450270,70	23421005051887,50	23738526473026,00	20450302716605,90	20388826551162,90	21610837008711,60	23145668465857,40
Ecuador	79276664000,00	87924544000,00	95129659000,00	101726331000,00	99290381000,00	99937696000,00	104295862000,00	107562008000,00
Egypt, Arab Rep,	235989672977,63	279116666666,67	288434108527,13	305595408895,27	329366576819,41	332441717791,41	235733695652,17	249712999437,25
Euro area	13623185516340,30	12639557374481,50	13190250310518,00	13490553822082,70	11668482860489,50	11967164887075,70	12671044522003,40	13686889517984,10
Spain	1478772824224,03	1324820091194,67	1354757433212,72	1369398844599,58	1195119269971,52	1232076017361,53	1312539279462,36	1422153839840,78
Estonia	23391530006,32	23192708981,84	25271406707,57	26773473625,19	23048864242,61	24259552888,97	26951648828,58	30631142226,85
Ethiopia	31952763089,33	43310721414,08	47648211133,22	55612228233,52	64589334978,80	74296618481,09	81770791970,98	84269348327,35
European Union	15744157300202,90	14636296706794,80	15293400915549,80	15632613367402,20	13545081361696,30	13886845315710,60	14758432346844,80	15965026482630,70
Fragile and conflict affected situations	1453117436183,71	1678806401944,62	1763713251391,59	1923217210047,71	1726905458298,12	1550706828001,58	1569590877815,66	1698248056693,35
Finland	275243697751,01	258304834621,61	271285280621,37	274497230802,96	234440080998,27	240607907010,38	255232257243,53	275946554578,82
Fiji	3774530615,66	3972012570,53	4190143206,26	4856963251,97	4682546881,16	4930204219,71	5353404418,66	5581393120,63
France	2861408170264,60	2683825225092,63	2811077725703,59	2852165760630,27	2438207896251,84	2471285607081,72	2595151045197,65	2787863958885,49
Faroe Islands	2490807830,57	2366301251,62	2627049837,08	2850743875,28	2518096285,62	2738832687,14	2905102303,53	3116887847,21
Micronesia, Fed, Sts,	311301600,00	327248700,00	317214400,00	319271200,00	316489900,00	332265200,00	366666800,00	401932300,00
Gabon	18210308748,29	17170465294,03	17595745653,37	18203968001,89	14383107714,04	14023890620,34	14929488770,73	16862282413,88
United Kingdom	2659310054646,23	2704887678386,72	2786022872706,81	3063803240208,01	2928591002002,51	2694283209613,29	2666229179958,01	2860667727551,97
Georgia	15107441446,78	16488403076,36	17189551520,98	17627003454,72	14953950557,44	15141758566,78	16242916915,72	17599700090,76
Ghana	39337314809,94	41270954737,25	62405374785,51	53660342159,77	48564863888,44	55009730600,03	58998132329,62	65556464048,15
Guinea	6785137172,77	7638045254,43	8376613843,27	8778473614,55	8794202443,67	8595955581,22	10324668266,59	10907214993,57
Gambia, The	1409694553,91	1415006238,10	1375608956,10	1229460601,92	1378176868,32	1484579844,37	1504909753,29	1670670668,59
Guinea-Bissau	1099818651,98	989271229,64	1046087417,97	1054915645,20	1048229629,42	1179004941,23	1350177127,55	1458868241,86
Equatorial Guinea	21357344847,50	22388345810,25	21948835350,34	21765454404,42	13185496836,41	11240809132,41	12200914929,60	13278488567,31
Greece	287797821676,14	245670666767,53	239862011051,78	237029578730,03	196591353872,13	195222443844,78	203588424740,30	218138367208,80
Grenada	778655925,93	799882259,26	842620111,11	911497407,41	997007925,93	1061631222,22	1125685185,19	1168696296,30
Greenland	2684467375,71	2609667673,72	2684952726,88	2842048997,77	2499115623,00	2707146783,13	2826651925,67	3051626389,64
Guatemala	47654783851,83	50388460924,73	52996540576,32	57852399705,13	62186186575,74	66053725049,01	71612352644,97	73118147941,27
Guam	4928000000,00	5199000000,00	5336000000,00	5538000000,00	5710000000,00	5795000000,00	5851000000,00	5920000000,00
Guyana	3691384743,47	4063090015,92	4167801802,58	4127664335,83	4279840361,74	4482697336,56	4748174334,14	4787635821,29
High income	49211742295134,10	49262520032118,80	49886888092442,60	50986874848795,00	48169284431931,20	49181225871698,30	51468319156973,60	54656884279246,10
Hong Kong SAR, China	248513617677,29	262629441493,48	275696879834,97	291459356985,34	309383627028,56	320837638328,85	341244161576,76	361696880780,76
Honduras	17710315006,00	18528601901,32	18499710127,84	19756494434,70	20979767785,21	21717622071,38	23136232229,61	24024189735,89
Heavily indebted poor countries (HIPC)	546434357935,13	580700670678,42	647872456883,35	683129004022,83	676805764502,93	669728831074,02	713187205161,61	759123536838,03
Croatia	62537851352,49	56580819623,85	58194069434,14	57639588805,59	49525747503,81	51601147665,81	55481644098,05	61375222347,03
Haiti	13008748131,68	13708931889,79	14498080022,63	14790765759,53	14857386163,92	13723267960,84	14213814582,79	15965670198,45
Hungary	141759722464,00	128475498380,38	135411698965,11	140765018880,63	125074286021,14	128470534117,95	142961605733,03	160418835850,91
IBRD only	23645033386793,80	25140839772231,00	26561030339655,50	27475647429348,00	25950065325005,50	26153434029171,90	28864183920440,60	30807716110874,30
IDA & IBRD total	25307796387400,40	26931505224687,80	28527413148525,70	29578253145897,40	28039830398545,90	28183036024025,60	30964942653522,80	33032316632670,90
IDA total	1664987161326,89	1794078345206,92	1973428801628,54	2112917151582,24	2102314112248,16	2039741254149,59	2107387269941,84	2231098324742,68
IDA blend	804396356884,61	889578509972,17	965837023753,58	1036701798768,23	999758125096,09	931080758172,09	922589446187,66	964268064192,79
Indonesia	892969107923,09	917869910105,75	912524136718,02	890814755233,23	860854235065,08	931877364177,74	1015618742565,81	1042240309412,58
IDA only	853829332625,35	895130563808,95	998443037641,44	1066194850212,59	1095337766619,45	1105541093456,11	1185503744780,45	1268823087329,56
Isle of Man	6566098381,67	6690725118,48	7000748788,49	7708834951,46	7085288006,11	6846691871,46	6979581724,58	7491969312,88
India	1823050405350,42	1827637859135,70	1856722121394,53	2039127446298,55	2103587817041,78	2294797978291,98	2652754685834,59	2713165057513,35
Ireland	237472361733,55	224999484361,83	238543539440,55	258471884599,61	291499812214,55	300523297823,58	335663113507,85	382674360648,25
Iran, Islamic Rep,	580764902917,44	598868460912,85	460293149324,33	432687036177,82	384951479697,42	417983583565,54	445345256459,11	453996479250,21
Iraq	185470085470,09	217807625616,48	234648370497,43	234648370506,00	177498577312,92	174896224010,15	195473049873,10	224228010473,77
Iceland	15158548262,77	14724078148,32	16033517403,21	17758050015,54	17389101639,00	20618363251,62	24488176540,59	25737594324,02
Israel	261468634287,10	257180147032,14	292636164056,03	309558454690,92	299813121135,46	318950599043,54	353253406982,75	370587977125,73
Italy	2291991045770,29	2087077032435,15	2141315327318,21	2159133919743,77	1835899237320,04	1875797463583,87	1961796197354,36	2091544955092,31
Jamaica	14444655299,88	14807086889,21	14262589157,74	13897804560,35	14187696311,36	14075894320,32	14806340821,09	15713908816,15
Jordan	29524149164,90	31634561670,44	34454440180,66	36847643587,24	38587017944,34	39892551148,83	41408960786,80	42932112676,06
Japan	6157459594823,72	6203213121334,12	5155717056270,83	4850413536037,84	4389475622588,97	4922538141454,62	4866864409657,68	4954806619995,19
Kazakhstan	192626507971,58	207998568865,79	236634552078,10	221415572819,50	184388432148,72	137278320084,17	166805800595,70	179339994859,38
Kenya	41953433591,41	50412754861,02	55096728047,94	61448046801,60	64007750169,33	69188755364,30	78965004656,18	87778582964,14
Kyrgyz Republic	6197766118,60	6605139933,41	7335027591,92	7468096566,71	6678178340,45	6813092065,84	7702934800,13	8271108638,40
Cambodia	12829541141,01	14054443213,46	15227991395,22	16702610842,40	18049954289,42	20016747754,02	22177200511,58	24571753583,49
Kiribati	181705002,58	190243321,60	185113921,61	179703443,30	171117872,44	178328873,03	187276210,91	196737896,00
St, Kitts and Nevis	817759259,26	800414814,81	839774074,07	916566666,67	923155555,56	971166666,67	996944444,44	1010822222,22
Korea, Rep,	1253223044718,99	1278427634342,59	1370795199976,18	1484318219633,63	1465773245547,15	1500111596236,37	1623901496835,79	1724845615629,26
Kuwait	154068115942,03	174070382279,39	174161142454,16	162631412508,78	114567298105,68	109419728566,70	120707220573,69	140645364238,41
Latin America & Caribbean (excluding high income)	5592263150707,69	5629206749772,01	5755372416436,77	5891055018081,22	5006910615827,80	4865726916709,88	5425412038876,06	5226072829129,24
Lao PDR	8749241114,19	10191350119,68	11942230508,33	13268458231,93	14390442307,40	15805692545,87	16853087485,41	17953786416,14
Lebanon	39927125961,19	44035991745,67	46909335135,12	48134486624,61	49939374832,70	51205122503,81	53140638269,12	54961275741,56
Liberia	2398000000,00	2721000000,00	3067000000,00	3144000000,00	3177000000,00	3277826000,00	3285455000,00	3264000000,00
Libya	34699395523,61	81873662518,82	65502870173,78	41142722414,34	27842131479,87	26197143268,12	37883243650,45	52607888717,95
St, Lucia	1576988407,41	1605146777,78	1664816740,74	1755130814,81	1808079888,89	1865375222,22	1999090407,41	2065875074,07
Latin America & Caribbean	6087457540728,09	6150616417221,48	6301890298662,80	6425251637774,58	5529111180660,86	5398482890244,68	5995428836310,15	5823558182037,60
Least developed countries: UN classification	778767083261,87	826383452265,82	901616161230,40	974055229893,73	966458681284,52	950657771886,43	1033422643377,55	1073440853752,05
Low income	427682679501,27	449651881090,36	492863774345,99	527424451180,53	533734870124,47	488936926500,77	503283508816,82	518428827997,30
Liechtenstein	5739977477,48	5456009384,66	6391735893,84	6657170923,38	6268391521,20	6237264055,21	6552858738,70	6876981286,43
Sri Lanka	65292753005,47	68434409315,11	74317806538,36	79356449840,58	80604080688,58	82401038709,54	87428125557,57	88425889592,15
Lower middle income	4422887680134,85	4668067570340,34	4918038585627,84	5226217431859,36	5182268735537,23	5360983734802,03	5768755648290,69	6007305623255,79
Low & middle income	24257492259031,40	25911940008002,90	27445087282780,40	28483329039856,00	27066524748193,80	27200380589510,30	29869835182245,50	31817960829724,90
Lesotho	2622336147,88	2526185314,17	2421470018,24	2499803984,26	2372280102,52	2165408359,17	2405289384,41	2575892261,54
Late-demographic dividend	16458769415923,90	17607169172335,60	18977342818570,60	19698463710450,90	18471432307959,40	18516557706974,80	20547417514605,10	22508844559569,00
Lithuania	43582248869,61	42943442157,77	46514471181,93	48574531941,92	41418872976,12	43018087237,57	47758736931,78	53722883091,35
Luxembourg	60004630234,41	56677961787,07	61739352212,30	66103853236,76	57744457954,73	60691483443,12	64181944722,73	70919958015,52
Latvia	28619991391,75	28330632928,56	30432796305,70	31329367172,74	27239653843,50	28052325862,05	30458763245,51	34416012859,19
Macao SAR, China	36709860068,34	43031577366,43	51552075901,52	55347998647,82	45361678146,52	45387299721,08	50751059058,06	55084050789,72
Morocco	101370474295,11	98266306615,36	106825649872,11	110081248587,37	101179808076,36	103311649248,02	109682728023,11	118096227400,09
Monaco	6088808463,25	5743029680,07	6555983530,35	7069616048,89	6261622101,41	6472990923,18	6431314957,07	7188238072,74
Moldova	8414360656,30	8709165249,27	9496684701,43	9510219299,50	7745231660,33	8071480540,86	9669759987,03	11456717193,25
Madagascar	11551821062,33	11578978052,88	12423557906,92	12522959157,23	11323023786,57	11848615018,41	13176313233,20	13853433947,62
Maldives	2774351760,03	2886170571,70	3295011381,75	3697351594,22	4109447297,01	4379115587,83	4754352301,41	5299773145,09
Middle East & North Africa	3280524945926,26	3576379622626,96	3548728301289,72	3569880025466,93	3143961312693,31	3155520650807,12	3272607336333,91	3566140736118,84
Mexico	1180489601957,61	1201089987015,45	1274443084716,57	1315351183524,54	1171867608197,72	1078490651625,31	1158913035796,37	1222348807283,20
Marshall Islands	174332100,00	182874800,00	187707400,00	184689500,00	184599600,00	200558400,00	212881000,00	221278000,00
Middle income	23825657402234,90	25456336153963,00	26949417332375,60	27956218907118,60	26539231023472,80	26707878448640,10	29355518486024,90	31284038166251,00
North Macedonia	10494632699,39	9745251126,01	10817712138,95	11362272837,88	10064515432,03	10672471860,72	11307058382,34	12683073866,11
Mali	12995074801,06	12441946098,40	13242680704,60	14364859445,88	13104802016,20	14025944550,38	15365627045,09	17070758732,20
Malta	9638916472,15	9462238256,98	10551661220,18	11626281449,59	11091434435,23	11665231192,30	13146963159,12	14750790658,40
Myanmar	59977326085,99	59937797559,33	60269734044,53	65446199787,84	67822772707,10	67184236746,57	68945867477,61	76168043981,59
Middle East & North Africa (excluding high income)	1566916852595,94	1729643567215,21	1619240456887,95	1599403833225,15	1440212700192,34	1459985957527,77	1436549350150,36	1520424748698,99
Montenegro	4544575151,99	4087561649,51	4464502433,55	4587741791,11	4053097851,45	4373958353,53	4844606145,77	5504255213,58
Mongolia	10409797649,31	12292770631,20	12582122604,19	12226514722,09	11749620619,60	11186734674,38	11425755279,54	13108769495,74
Northern Mariana Islands	733000000,00	751000000,00	782000000,00	845000000,00	931000000,00	1250000000,00	1601000000,00	1323000000,00
Mozambique	14381552432,95	16350804543,05	16974320551,02	17716084107,59	15950969018,95	11936999283,18	13219084261,37	14845870050,71
Mauritania	6764635686,79	6728208836,22	7223063169,73	6592537781,82	6166857628,62	6398744505,08	6758390728,72	7049169770,86
Mauritius	11518393367,24	11668685524,13	12129642296,44	12803445933,59	11692287066,38	12232463655,57	13259351418,45	14181951058,51
Malawi	8004000737,31	6028487928,83	5518880768,58	6047813437,32	6373212640,85	5433040159,89	6303292264,19	6917301908,63
Malaysia	297951960784,31	314443149443,15	323277158906,98	338061963396,38	301354803994,37	301255380276,26	319112136545,44	358715057123,74
North America	17337541701047,80	18032074866349,00	18638523474155,30	19337110892844,60	19787488505418,20	20250103662982,10	21176374062226,80	22303646726082,20
Namibia	12343501808,22	13041886316,48	12011207741,46	12356482988,87	11272143472,62	10665634688,08	12741746523,86	13454211343,59
Niger	8772951261,82	9426913349,22	10224897934,72	10862944203,56	9685577941,03	10355006770,10	11189541083,40	12846952856,85
Nigeria	404993594133,58	455501524575,50	508692961937,49	546676374567,72	486803295097,89	404650006428,61	375746469538,67	397190484464,31
Nicaragua	9774262741,76	10532049076,94	10982938825,70	11880434070,78	12756706583,31	13286083644,88	13785909906,19	13063904770,36
Netherlands	904085980796,02	838971306990,91	876923518850,41	890981311077,66	765264949781,00	783528181704,57	833869641687,06	914043438179,61
Norway	498283438454,28	509506317146,54	522761531914,89	498410050251,26	385801550067,17	368819929542,19	398393955268,99	434166615431,91
Nepal	18913574370,76	18851513891,07	19271168018,48	20002968837,95	21410840908,52	21185922407,59	25180583770,27	29173513475,71
Nauru	66055407,67	96927201,48	98491843,64	104654365,19	86779266,16	100087348,96	109585941,62	124021393,69
New Zealand	168510189201,49	176247979235,91	190845889949,76	200921936786,22	177467529071,29	188223664746,52	205415864857,98	207920613961,75
OECD members	48451045338400,60	48424374706150,00	49078639087279,90	50111815274171,60	47286499263673,50	48179034147539,30	50320155133068,00	53201637655856,40
Oman	67872692582,24	76511059935,94	78555637365,23	80686854742,61	68399663321,93	65480507170,79	70598026282,80	79788768968,95
Other small states	396955486136,66	414384564144,54	432374768925,02	446839099917,42	370774396651,58	366401331400,42	398893497014,27	442417900539,21
Pakistan	213587413184,00	224383620829,57	231218567178,98	244360888750,81	270556131701,17	278654637737,69	304567253219,10	314567541558,34
Panama	34686200000,00	40429700000,00	45600000000,00	49921500000,00	54091700000,00	57907700000,00	62219000000,00	65128200000,00
Peru	171761737046,59	192648999090,08	201175469114,33	200789362451,57	189805300841,60	191895943823,89	211007207483,52	222044970486,22
Philippines	234216730703,91	261920542606,89	283902829721,09	297483553299,66	306445871632,26	318627003966,06	328480738147,22	346841896890,28
Palau	196911100,00	212397800,00	221117200,00	241669800,00	280457700,00	295065400,00	286106800,00	280435700,00
Papua New Guinea	17984910495,73	21295659249,24	21261432774,50	23210682536,84	21723531182,14	20759069104,55	22742613549,40	24109509856,19
Poland	528301269069,80	498523568248,12	521016262734,92	542477096211,76	477811911394,08	472630364208,18	526508877305,32	587411745161,56
Pre-demographic dividend	1181588267636,94	1301869280376,94	1428106308372,66	1507685425623,48	1340468680424,61	1218123189348,83	1267095772749,34	1338754447613,99
Puerto Rico	100351700000,00	101564800000,00	102450000000,00	102445800000,00	103375500000,00	104336700000,00	103445500000,00	100979900000,00
Portugal	244797226567,11	216236608773,98	226369502104,24	229596170847,00	199313894327,49	206286022781,89	221357874718,93	242313116577,97
Paraguay	33715524703,93	33283228891,09	38585317742,98	40276532540,88	36164068797,25	36054281572,40	39008900331,67	40384691790,57
West Bank and Gaza	11186100000,00	12208400000,00	13515500000,00	13989700000,00	13972400000,00	15405400000,00	16128000000,00	16276600000,00
Pacific island small states	7737574650,74	8223336839,59	8544448803,86	9271534113,65	9049548346,34	9475857773,45	10212875641,10	10667782837,64
Post-demographic dividend	45663523980497,00	45621668588058,90	46082323358324,40	47033622109453,80	44518542519300,00	45500484584505,30	47470259139153,20	50282104947774,30
Qatar	167775268614,04	186833502362,13	198727642979,30	206224598564,62	161739955577,75	151732181857,11	161099122215,31	183334953813,21
Romania	183326740143,02	170635805316,88	190801346194,30	199959363430,07	177729210874,50	188128818486,40	211695422578,66	241457403085,04
Russian Federation	2045925608274,37	2208295773643,15	2292473246621,08	2059241965490,83	1363481063446,77	1276786979221,81	1574199387070,90	1669583089322,96
Rwanda	6884889635,54	7655138385,44	7819538349,24	8246166341,36	8545441361,07	8697268915,97	9253098954,28	9635951159,79
South Asia	2271837830662,84	2297332203012,90	2357132410757,71	2581822536186,75	2697257705966,27	2923010601938,01	3345716338949,23	3445471615274,75
Saudi Arabia	671238840108,23	735974843348,66	746647127407,62	756350347320,38	654269902888,72	644935541446,45	688586244286,51	786521831571,96
Sudan	57060450038,14	52766746152,18	57730380599,53	64941713057,38	74294508239,55	51772232494,85	45021077955,33	33128480498,73
Senegal	17902207621,62	17824398468,89	18965572150,29	19797254643,12	17774766636,05	19040312815,13	20996564751,60	23236007428,26
Singapore	279351168707,27	295087220933,02	307576360584,99	314851156183,41	308004146057,61	318652334419,11	341863349989,14	373217081850,53
Solomon Islands	1049952233,26	1190994126,60	1284698922,23	1335538893,33	1307061543,71	1378551118,49	1483758906,61	1593964162,21
Sierra Leone	2942546781,05	3801862611,36	4920343194,99	5015157815,73	4218723875,14	3674794530,19	3739577973,24	4085114794,22
El Salvador	20283790000,00	21386140000,00	21990970000,00	22593480000,00	23438240000,00	24191440000,00	24979200000,00	26117400000,00
San Marino	1813752783,96	1604779647,95	1678841811,66	1673973694,70	1419394771,21	1468377272,14	1528630707,50	1655300872,53
Serbia	49258136128,97	43309252921,06	48394239474,68	47062206677,65	39655958842,55	40692643373,03	44179055279,89	50640650221,46
Sub-Saharan Africa (excluding high income)	1541363847367,11	1622381989823,82	1728625447634,02	1794595480407,53	1648848763840,87	1526703538849,83	1626990301193,13	1705376028962,50
Sub-Saharan Africa	1553945789839,36	1635107344173,13	1742079222307,12	1808737756281,44	1661914707751,22	1540370434904,87	1641784086541,64	1721156393779,71
Small states	474361335043,01	494659019625,89	514336807607,29	530544302530,39	452652416568,46	445068532250,11	480558936881,72	528052950897,02
Sao Tome and Principe	231488665,22	250680453,15	300553785,02	346527949,76	316065369,89	345495358,38	375614556,38	412261829,65
Suriname	4422276621,79	4980000000,00	5145757575,76	5240606060,61	4787367928,12	3128953536,91	3216207914,31	3464656616,42
Slovak Republic	99122802874,17	94534730680,60	98848641554,63	101189715749,37	88467555243,73	89655253976,43	95494424978,52	105701930962,98
Slovenia	51516366654,82	46580457470,28	48401896808,31	49930685013,46	43090173394,69	44736333522,45	48586603447,70	54161636034,65
Sweden	574094112972,73	552483727282,80	586841821796,89	581964017237,10	505103781349,76	515654671469,55	541018749769,10	555455371487,09
Eswatini	4820499497,32	4886658806,33	4597702903,13	4422304974,80	4062660889,83	3816018484,53	4402972999,53	4665424249,06
Sint Maarten (Dutch part)	936089385,47	985865921,79	1022905027,93	1245251396,65	1253072625,70	1263687150,84	1191620111,73	1185474860,34
Seychelles	1065826669,90	1060226125,63	1328157608,83	1343007845,04	1377495054,04	1426651768,82	1524486800,36	1586008999,75
Turks and Caicos Islands	728789600,00	727161000,00	754238000,00	841070000,00	942070000,00	1032452000,00	1022365000,00	1113178000,00
Chad	12172309522,62	12367363677,62	12953535495,88	13940768065,61	10950392219,91	10097778353,77	10000395242,15	11239167048,49
East Asia & Pacific (IDA & IBRD countries)	9601739619657,90	10706984951239,60	11812889074004,20	12737160518776,30	13269125320570,90	13549821527676,30	14807652296163,70	16562482144146,10
