Numer stolika;Kwota zamowienia;Rodzaj zamowienia;Data;Godzina
8;46,68;9;29.03.2023;22:42:41
1;50,06;19;21.12.2023;11:33:13
3;72,76;22;28.10.2023;15:11:32
6;70,77;18;22.06.2023;12:19:14
2;40,01;25;11.03.2023;15:10:28
2;184,90;20;19.03.2023;10:36:21
2;44,20;15;30.07.2023;21:17:29
2;42,01;9;19.08.2023;18:11:30
4;8,56;6;22.10.2023;13:55:56
1;116,87;4;25.11.2023;20:28:38
2;25,47;21;30.11.2023;21:38:36
5;145,17;4;28.07.2023;20:54:32
5;90,33;2;25.02.2023;21:20:36
3;95,79;25;30.07.2023;12:07:38
8;132,12;15;20.08.2023;10:55:53
9;142,83;30;27.01.2023;22:09:06
9;98,85;24;04.04.2023;15:34:06
2;89,23;4;25.12.2023;16:33:39
9;167,38;31;18.11.2023;20:51:09
3;122,89;25;08.07.2023;20:40:25
3;38,90;19;21.01.2023;20:18:19
4;86,38;28;29.03.2023;12:31:09
4;150,45;25;28.08.2023;15:54:42
9;114,00;31;17.08.2023;19:37:16
3;50,73;18;25.08.2023;16:49:04
1;90,68;3;15.09.2023;20:29:03
5;115,72;14;30.07.2023;22:02:33
8;20,67;28;01.07.2023;17:08:27
9;31,59;4;03.07.2023;15:22:20
2;92,22;9;25.08.2023;10:36:40
4;12,63;21;05.06.2023;15:40:52
3;46,50;25;01.02.2023;13:49:21
5;131,12;5;08.07.2023;22:11:07
5;151,36;29;01.07.2023;18:21:41
10;46,08;5;22.04.2023;21:22:17
6;92,97;7;26.01.2023;10:44:26
10;125,57;28;15.01.2023;11:34:28
7;149,88;31;28.03.2023;22:49:17
7;165,75;10;14.11.2023;21:49:42
4;100,73;27;10.12.2023;20:46:07
3;94,14;12;23.09.2023;13:15:25
7;175,53;31;26.05.2023;10:45:34
3;42,03;30;24.11.2023;17:32:18
1;121,95;26;24.09.2023;14:01:32
4;125,26;15;13.10.2023;15:53:38
6;176,40;14;28.02.2023;19:45:28
6;46,38;13;20.09.2023;18:53:19
8;119,40;14;15.08.2023;10:08:39
2;72,05;16;11.11.2023;10:22:09
9;32,06;3;04.05.2023;21:15:25
6;180,67;29;21.09.2023;12:29:35
2;145,71;3;14.05.2023;13:44:47
4;197,07;11;14.10.2023;14:43:53
1;85,92;1;26.05.2023;21:28:46
10;8,50;12;19.07.2023;11:38:04
9;179,40;2;06.02.2023;22:29:23
3;40,05;22;01.03.2023;16:44:56
8;125,01;25;12.02.2023;21:44:03
3;39,85;10;18.03.2023;19:11:57
2;177,19;7;13.04.2023;18:14:57
6;167,28;6;07.06.2023;17:50:00
6;182,03;25;17.08.2023;11:20:29
10;135,64;11;21.12.2023;16:35:27
5;0,94;25;21.03.2023;16:20:01
5;20,72;17;11.04.2023;21:33:15
2;99,03;9;29.08.2023;16:51:41
6;105,21;10;01.01.2023;14:00:15
2;5,04;26;06.12.2023;19:08:47
9;115,30;11;02.02.2023;11:29:35
7;73,89;11;23.07.2023;22:43:45
7;84,87;23;17.10.2023;16:18:00
2;143,59;15;21.01.2023;18:43:35
3;153,47;31;28.07.2023;15:50:09
3;138,83;19;31.01.2023;19:26:33
9;146,54;22;26.11.2023;10:29:02
1;67,75;20;23.12.2023;14:58:24
1;155,06;25;22.10.2023;20:44:07
5;116,74;27;27.07.2023;12:24:14
10;56,64;13;26.10.2023;18:40:10
7;193,71;9;10.04.2023;13:45:01
9;77,39;2;02.08.2023;17:41:24
8;27,09;5;09.01.2023;10:39:54
2;95,98;8;28.01.2023;15:42:22
3;132,81;4;08.11.2023;11:09:09
5;143,36;22;11.10.2023;14:36:45
7;160,47;6;30.01.2023;22:43:28
3;160,01;31;21.09.2023;22:47:59
9;89,37;15;23.07.2023;18:57:20
5;107,34;31;03.12.2023;21:28:11
7;52,57;4;24.02.2023;10:51:32
6;165,77;26;18.07.2023;16:05:15
9;80,22;9;01.03.2023;10:37:52
3;115,95;28;28.05.2023;18:05:49
2;150,18;21;07.05.2023;11:33:28
5;41,01;18;14.02.2023;19:00:59
1;163,05;26;15.01.2023;13:30:25
10;161,71;1;07.10.2023;21:24:33
1;51,60;12;30.05.2023;11:12:54
8;75,88;13;14.01.2023;17:19:34
2;119,68;17;11.03.2023;16:44:30
6;86,68;9;25.11.2023;13:06:16
2;61,48;15;22.07.2023;20:31:59
2;24,27;8;09.10.2023;20:03:30
2;1,06;5;27.09.2023;18:21:38
6;123,37;1;10.06.2023;12:48:19
5;159,17;13;06.11.2023;16:39:23
10;111,33;10;08.05.2023;14:26:56
2;123,94;21;06.08.2023;17:35:10
3;61,75;12;27.07.2023;16:13:21
6;181,74;10;31.08.2023;10:34:31
1;73,05;16;18.03.2023;18:33:50
8;90,96;15;25.02.2023;20:35:39
6;152,39;11;15.05.2023;13:57:47
9;52,27;31;20.02.2023;20:08:28
1;170,39;26;28.02.2023;15:59:04
10;102,95;11;12.10.2023;19:19:15
1;107,49;14;10.05.2023;16:00:49
6;113,65;26;02.06.2023;22:23:35
8;71,72;8;12.01.2023;10:57:41
6;119,45;9;17.12.2023;20:00:44
9;64,11;18;14.02.2023;19:45:03
1;1,62;5;27.07.2023;15:27:01
5;19,89;5;15.10.2023;11:16:23
10;185,34;26;15.10.2023;13:59:32
2;175,20;15;02.04.2023;18:35:25
7;122,88;12;03.11.2023;18:34:38
1;170,22;6;08.10.2023;19:40:22
6;81,17;4;01.10.2023;15:39:57
1;60,51;22;18.02.2023;11:23:46
1;156,03;1;19.02.2023;19:44:13
2;44,92;30;03.06.2023;12:41:55
10;184,42;15;01.11.2023;16:03:41
1;126,08;16;25.09.2023;10:35:53
9;124,29;3;02.08.2023;11:40:20
2;23,77;15;25.06.2023;14:19:55
4;167,57;11;23.11.2023;17:52:58
5;135,70;14;20.06.2023;15:29:59
1;46,33;15;12.08.2023;17:19:57
4;28,67;6;23.04.2023;11:54:36
1;148,23;28;18.08.2023;19:27:36
3;51,66;12;15.03.2023;15:48:25
1;3,40;7;20.08.2023;15:28:45
3;178,76;21;01.10.2023;12:06:22
8;199,17;6;22.10.2023;22:10:02
3;174,39;23;21.05.2023;19:16:04
4;79,69;1;24.05.2023;12:37:50
5;77,74;3;10.12.2023;13:28:15
2;150,99;28;13.02.2023;21:27:38
8;144,50;29;24.02.2023;17:54:34
6;22,08;11;02.09.2023;17:17:15
7;111,70;3;06.01.2023;14:58:19
2;147,19;25;17.05.2023;20:07:36
3;133,40;30;26.05.2023;22:36:54
2;19,57;11;15.01.2023;12:36:36
6;64,41;6;29.01.2023;15:19:43
3;184,52;20;09.11.2023;16:24:15
6;184,78;6;09.09.2023;16:05:39
7;35,81;6;05.02.2023;22:30:05
6;154,50;16;08.07.2023;16:17:27
4;128,45;24;15.06.2023;23:00:22
1;140,42;17;14.08.2023;14:18:52
7;165,64;12;25.08.2023;21:54:30
1;17,67;16;14.12.2023;21:26:32
1;85,55;29;22.06.2023;14:40:31
6;54,50;10;07.03.2023;13:39:16
10;31,31;2;30.04.2023;21:21:15
8;197,46;5;24.07.2023;18:02:50
7;146,75;23;19.11.2023;16:23:00
7;150,10;23;29.09.2023;18:55:13
6;69,39;14;28.06.2023;20:06:57
2;151,69;10;07.09.2023;18:22:16
5;38,60;31;30.11.2023;10:45:18
3;178,15;9;07.02.2023;11:39:41
4;108,41;16;08.05.2023;18:08:21
9;14,58;19;22.04.2023;10:24:12
10;194,41;26;23.02.2023;18:45:27
7;13,55;10;29.03.2023;14:39:23
9;177,23;1;19.08.2023;17:15:38
3;90,02;5;16.03.2023;22:49:59
10;156,18;4;27.12.2023;20:30:28
2;132,69;7;06.11.2023;18:28:56
5;66,09;7;31.05.2023;21:14:45
7;197,28;10;16.03.2023;13:43:05
6;180,94;2;26.07.2023;13:34:05
1;75,76;5;11.11.2023;22:14:10
9;96,09;5;19.06.2023;10:33:24
4;111,17;6;04.10.2023;10:32:42
10;11,13;15;15.10.2023;13:09:09
8;8,02;7;18.08.2023;17:06:57
3;163,80;20;05.01.2023;14:49:03
3;94,93;23;21.03.2023;19:23:03
7;109,52;16;16.04.2023;18:37:31
1;78,26;15;01.01.2023;18:59:07
2;50,25;11;21.10.2023;20:36:50
7;106,77;17;26.02.2023;16:32:35
5;138,27;17;10.04.2023;16:59:42
10;12,07;13;29.01.2023;14:45:55
4;132,05;18;01.07.2023;15:22:50
3;26,26;14;01.10.2023;12:57:41
10;189,95;10;14.06.2023;11:40:36
8;2,66;31;12.06.2023;13:34:15
9;190,34;24;20.02.2023;17:13:05
5;76,99;11;30.12.2023;21:24:07
6;98,67;2;04.09.2023;15:24:46
10;114,16;31;27.11.2023;20:37:15
7;143,12;2;04.03.2023;18:09:43
10;102,63;20;16.05.2023;15:11:40
3;53,64;27;10.01.2023;11:35:45
10;163,72;1;14.12.2023;13:27:17
9;82,19;2;13.04.2023;10:23:59
6;66,89;15;02.12.2023;17:00:43
3;46,43;18;16.06.2023;17:54:28
9;131,50;25;14.12.2023;12:15:39
5;110,00;18;19.03.2023;10:08:21
10;186,75;18;20.07.2023;11:42:17
2;104,05;16;30.09.2023;11:26:55
2;105,23;19;01.07.2023;16:46:25
9;163,27;3;27.12.2023;10:20:00
2;47,19;25;17.08.2023;16:19:33
9;98,27;18;10.02.2023;20:39:46
10;22,48;17;27.09.2023;13:48:17
2;144,76;5;08.07.2023;17:04:45
9;139,68;16;25.09.2023;11:50:00
9;186,62;15;28.08.2023;22:39:29
7;131,64;15;16.02.2023;17:22:31
2;147,19;17;10.04.2023;14:55:55
2;9,10;1;26.10.2023;18:37:10
4;45,43;19;26.01.2023;18:29:16
1;78,02;12;24.04.2023;15:18:05
10;96,92;23;04.06.2023;12:32:02
9;64,75;11;12.10.2023;18:49:32
4;199,24;16;03.03.2023;20:07:07
9;92,52;9;12.09.2023;14:36:21
4;179,66;10;08.04.2023;12:06:50
6;127,34;4;19.07.2023;13:24:12
5;50,48;13;19.03.2023;15:43:48
2;90,09;30;13.10.2023;14:53:02
2;91,15;22;13.08.2023;11:26:04
3;194,09;24;16.10.2023;12:12:16
5;161,59;19;05.05.2023;11:59:15
8;182,69;5;11.10.2023;15:27:03
10;139,57;6;17.11.2023;10:43:11
1;96,88;27;27.07.2023;18:10:28
9;29,20;7;04.04.2023;11:14:38
10;28,20;17;31.01.2023;10:39:00
10;12,80;27;19.05.2023;19:10:58
6;40,84;14;04.01.2023;16:12:43
10;140,74;11;01.12.2023;21:20:03
2;186,28;8;11.01.2023;11:28:58
1;69,32;11;03.07.2023;16:28:33
6;34,89;16;31.05.2023;20:13:39
1;178,13;12;28.12.2023;10:53:01
7;143,71;22;07.06.2023;11:51:37
3;199,80;28;22.04.2023;13:31:10
7;191,21;3;02.04.2023;13:04:25
10;164,35;7;02.02.2023;13:27:23
6;123,78;9;11.01.2023;11:17:05
2;146,28;27;20.07.2023;11:35:02
9;77,59;30;07.06.2023;16:02:08
4;178,85;15;02.04.2023;18:46:52
8;135,69;24;12.09.2023;11:50:54
2;19,56;24;23.02.2023;12:12:07
6;177,58;23;29.07.2023;21:01:04
10;96,73;16;26.06.2023;21:06:33
4;91,83;3;19.05.2023;17:32:16
10;20,74;23;27.06.2023;22:37:54
6;137,59;18;18.08.2023;23:00:46
3;108,12;18;23.08.2023;19:37:01
5;30,86;23;12.02.2023;20:57:48
2;177,01;5;28.07.2023;17:35:30
2;118,72;1;25.10.2023;16:57:25
1;5,58;9;08.04.2023;15:01:49
7;59,63;14;12.06.2023;18:57:34
7;166,87;3;21.03.2023;22:50:50
6;157,68;17;04.10.2023;15:13:55
7;1,97;4;25.06.2023;13:54:36
8;162,06;13;01.12.2023;11:57:21
9;8,21;1;26.01.2023;17:53:52
8;13,95;17;11.05.2023;17:06:47
10;33,98;17;02.10.2023;13:35:02
10;98,48;9;05.05.2023;16:46:11
4;59,41;21;03.02.2023;16:17:25
4;35,43;25;09.02.2023;11:34:35
10;178,71;3;04.09.2023;12:05:40
5;4,38;28;04.04.2023;21:56:31
10;113,69;3;21.12.2023;18:08:36
3;179,84;10;17.03.2023;13:38:12
9;97,93;3;29.05.2023;14:33:53
1;128,36;14;28.11.2023;21:12:09
9;73,73;4;09.08.2023;16:33:49
2;147,87;17;10.06.2023;17:30:28
9;147,84;5;03.03.2023;13:28:52
8;108,19;21;29.05.2023;13:12:55
1;44,88;28;27.08.2023;11:00:10
2;117,41;31;20.09.2023;14:35:20
9;47,28;4;29.07.2023;15:18:12
6;132,37;29;14.12.2023;22:51:05
1;53,75;30;07.10.2023;16:39:39
8;103,14;8;27.12.2023;16:06:25
2;187,20;19;22.02.2023;17:43:49
8;195,46;26;14.11.2023;12:55:38
4;181,11;20;22.07.2023;12:33:53
2;184,91;31;25.03.2023;21:29:21
9;65,08;27;11.03.2023;11:34:34
9;29,31;16;06.12.2023;13:18:58
4;36,31;15;17.06.2023;22:08:03
1;183,86;9;17.06.2023;12:27:28
4;87,41;12;15.05.2023;22:39:05
6;135,30;6;29.09.2023;19:25:45
6;56,53;25;12.09.2023;14:32:05
5;97,66;4;06.01.2023;15:17:08
7;92,51;10;29.07.2023;12:41:25
2;122,59;7;23.12.2023;10:37:12
7;31,29;20;31.01.2023;15:12:20
3;137,40;26;18.04.2023;14:26:24
7;24,99;16;11.04.2023;13:06:59
8;9,91;29;05.12.2023;17:20:00
3;170,90;10;14.01.2023;21:06:31
3;135,78;31;15.07.2023;10:18:45
6;69,39;8;16.02.2023;16:04:25
2;116,90;29;18.10.2023;21:36:33
5;162,68;7;17.07.2023;23:00:18
8;165,09;10;10.11.2023;15:28:50
6;182,48;29;11.12.2023;15:41:52
10;82,60;13;14.04.2023;14:17:22
2;173,55;14;13.03.2023;22:38:33
9;151,66;24;07.02.2023;17:31:07
1;56,24;27;07.06.2023;17:33:22
2;48,49;4;26.05.2023;12:24:04
4;164,40;16;05.12.2023;16:14:03
5;159,81;26;05.06.2023;20:13:21
1;51,08;8;17.02.2023;18:32:29
5;178,65;13;01.03.2023;20:13:23
9;26,28;16;23.07.2023;10:48:41
1;129,66;15;31.08.2023;19:14:18
6;38,21;4;09.08.2023;21:12:03
2;192,59;2;09.06.2023;18:25:30
10;197,42;26;03.03.2023;21:59:08
4;23,34;31;18.05.2023;10:04:53
1;46,88;23;06.04.2023;17:28:09
10;71,22;8;22.06.2023;11:58:11
9;117,34;18;05.12.2023;20:59:43
3;104,42;2;14.12.2023;17:16:19
10;7,80;15;16.06.2023;20:48:17
4;20,04;22;27.04.2023;15:59:20
8;8,73;21;07.08.2023;18:35:03
10;140,07;2;09.12.2023;20:45:20
1;129,74;19;31.07.2023;17:33:32
2;49,48;1;22.04.2023;20:31:40
4;12,97;1;14.06.2023;15:26:36
6;136,17;30;20.06.2023;10:52:51
10;197,68;6;12.10.2023;13:39:15
5;48,15;15;06.02.2023;22:16:02
7;194,62;6;29.04.2023;11:01:08
4;64,49;7;31.07.2023;13:20:54
9;88,04;24;03.04.2023;11:56:14
6;36,35;31;29.08.2023;21:55:56
9;43,58;15;08.11.2023;19:46:25
4;171,79;5;24.02.2023;14:38:12
6;1,02;22;04.06.2023;16:27:35
9;55,21;6;15.12.2023;15:25:35
9;41,40;17;02.02.2023;15:01:51
5;2,77;28;13.12.2023;16:13:02
7;140,66;30;05.11.2023;18:34:50
4;18,78;5;13.06.2023;10:37:36
2;187,65;6;28.02.2023;18:35:42
4;44,66;10;25.09.2023;22:17:43
3;169,86;5;25.02.2023;17:16:51
9;33,47;31;16.01.2023;10:32:24
4;82,82;5;03.05.2023;16:41:04
4;120,88;25;27.06.2023;20:31:41
6;87,50;8;27.07.2023;22:58:07
2;130,09;30;24.01.2023;14:26:56
2;109,20;22;01.12.2023;16:36:38
6;41,79;20;06.05.2023;15:18:22
2;84,62;8;18.06.2023;17:24:49
1;191,47;24;08.03.2023;11:00:18
9;121,24;14;28.12.2023;18:51:05
5;68,38;9;03.11.2023;22:09:48
5;67,45;22;30.12.2023;22:21:10
9;123,46;6;27.08.2023;14:26:39
2;176,25;25;27.07.2023;14:23:53
7;112,32;21;09.10.2023;22:00:05
7;166,98;24;04.09.2023;19:43:35
6;171,80;20;26.06.2023;21:35:42
10;191,13;4;15.01.2023;21:06:38
3;107,59;21;03.08.2023;18:16:43
8;48,52;6;01.12.2023;19:41:35
1;38,81;6;20.09.2023;16:22:11
4;109,49;1;24.03.2023;11:00:46
6;84,49;24;21.01.2023;14:31:47
1;183,73;16;30.05.2023;17:11:52
6;39,94;3;12.04.2023;12:00:21
3;172,17;11;15.04.2023;13:27:23
6;163,20;31;27.07.2023;13:47:24
7;92,46;19;07.12.2023;12:54:23
9;126,07;9;02.06.2023;15:41:26
10;134,20;15;09.09.2023;21:03:21
8;183,84;17;21.11.2023;15:58:47
3;170,61;2;06.04.2023;12:00:48
5;39,19;14;02.10.2023;12:19:43
10;177,62;21;08.06.2023;21:54:24
9;156,72;14;01.07.2023;12:12:14
1;85,57;12;07.08.2023;13:07:34
7;190,38;16;04.03.2023;12:24:18
1;6,15;2;28.08.2023;17:22:16
6;49,26;25;20.11.2023;10:14:33
9;26,27;17;28.02.2023;17:03:50
8;112,05;23;27.10.2023;17:27:37
2;64,67;5;31.08.2023;11:26:11
2;182,41;16;09.06.2023;13:28:05
9;59,65;12;03.08.2023;20:10:30
9;122,17;19;08.11.2023;16:25:51
9;135,31;30;08.02.2023;16:01:49
1;136,44;3;06.11.2023;22:51:26
4;71,10;26;28.05.2023;16:00:36
10;178,16;7;22.06.2023;17:24:20
4;0,63;7;17.10.2023;16:47:56
7;137,39;18;19.09.2023;21:00:47
9;43,96;23;07.11.2023;22:26:30
1;127,79;29;14.11.2023;22:58:46
9;178,87;6;24.01.2023;15:14:36
6;127,72;4;01.05.2023;19:56:39
1;52,13;26;13.12.2023;15:56:33
4;174,56;19;02.04.2023;17:15:05
2;60,12;15;23.11.2023;16:01:48
3;189,82;8;04.08.2023;11:51:48
1;11,45;11;16.06.2023;22:37:07
2;87,63;3;13.06.2023;16:10:01
8;131,19;4;02.09.2023;22:08:47
1;142,90;27;06.05.2023;12:31:10
8;58,07;19;10.02.2023;19:06:56
9;0,72;2;17.12.2023;20:11:34
6;150,34;29;13.11.2023;15:00:44
9;126,46;8;25.09.2023;12:00:40
5;166,81;17;03.01.2023;16:29:43
8;1,06;22;26.08.2023;10:19:42
9;165,85;29;03.10.2023;15:53:17
7;24,52;10;05.01.2023;11:01:05
2;61,10;16;18.05.2023;11:53:38
3;147,03;15;21.05.2023;10:24:30
10;104,74;7;24.01.2023;15:44:40
2;14,80;3;24.07.2023;12:05:04
2;41,34;10;06.05.2023;12:36:38
2;30,89;23;18.12.2023;13:13:26
4;195,99;14;14.06.2023;19:22:22
3;183,10;12;29.09.2023;21:16:13
10;109,56;4;01.09.2023;21:54:54
1;133,46;13;12.02.2023;14:56:43
4;10,95;28;29.01.2023;22:32:24
6;35,90;8;13.02.2023;23:00:54
1;156,33;18;15.02.2023;18:09:43
5;67,05;18;25.06.2023;22:10:07
4;139,42;31;25.07.2023;22:34:19
8;196,57;11;08.11.2023;19:04:20
6;89,70;31;28.05.2023;10:52:26
4;30,68;4;21.07.2023;20:31:17
3;13,90;31;06.01.2023;10:34:34
6;83,92;19;09.07.2023;13:52:25
3;183,29;19;08.12.2023;22:06:22
7;11,97;12;16.02.2023;17:59:01
7;125,94;21;10.09.2023;11:53:24
5;198,62;22;04.11.2023;22:26:34
6;85,68;21;11.05.2023;13:39:35
7;138,68;11;24.08.2023;20:31:47
10;106,77;31;09.05.2023;10:50:51
3;175,95;3;23.10.2023;14:19:15
3;8,24;16;29.12.2023;21:35:06
9;2,05;7;28.11.2023;13:23:45
7;162,68;5;17.07.2023;21:52:38
7;7,98;16;21.03.2023;17:27:39
10;33,24;18;12.08.2023;15:48:07
10;20,79;22;20.02.2023;13:17:21
10;174,05;21;17.11.2023;10:55:32
6;178,43;16;03.10.2023;21:52:58
7;184,41;2;12.08.2023;16:38:01
8;77,30;9;20.02.2023;20:40:11
7;193,38;4;30.04.2023;19:31:57
1;170,46;6;25.07.2023;12:13:59
8;110,38;7;28.05.2023;11:27:04
7;168,51;8;05.06.2023;13:17:48
6;38,44;15;24.06.2023;13:07:23
5;139,74;10;06.04.2023;16:39:12
5;137,16;12;24.09.2023;13:33:34
3;54,79;17;25.07.2023;15:34:59
9;25,12;26;02.09.2023;19:05:17
6;171,49;4;20.04.2023;19:21:53
6;140,56;10;21.03.2023;21:38:37
10;136,07;9;10.03.2023;17:52:33
8;116,83;19;16.06.2023;17:17:21
7;171,29;9;03.09.2023;19:07:38
6;139,23;4;24.04.2023;16:41:57
2;92,97;27;18.04.2023;17:28:26
7;153,04;21;09.05.2023;19:36:40
3;43,19;30;07.08.2023;16:07:05
9;182,68;18;13.02.2023;21:10:51
8;51,37;4;13.01.2023;22:14:37
5;16,27;2;27.07.2023;11:03:20
8;33,57;25;05.01.2023;20:18:29
1;77,64;14;07.08.2023;18:16:06
10;26,75;26;28.09.2023;15:18:27
4;65,95;7;18.09.2023;12:26:53
10;88,42;25;14.01.2023;11:59:03
3;187,05;15;15.06.2023;11:07:01
3;88,38;28;03.10.2023;16:13:46
8;47,44;27;06.07.2023;22:14:41
8;57,68;12;10.04.2023;18:34:39
6;47,70;27;25.03.2023;20:15:42
7;190,74;18;18.07.2023;10:43:18
4;129,78;8;23.10.2023;21:27:46
9;99,61;13;22.03.2023;22:05:00
2;15,85;29;01.12.2023;16:43:25
2;121,03;21;18.08.2023;13:19:04
2;37,53;2;26.05.2023;20:35:23
8;98,57;20;12.10.2023;14:40:16
9;10,25;23;10.01.2023;14:18:44
3;117,31;5;12.11.2023;12:33:50
1;82,96;2;25.10.2023;17:36:54
2;90,17;15;29.03.2023;19:41:35
7;46,09;26;11.12.2023;20:24:41
3;20,17;21;17.08.2023;17:30:38
8;16,79;1;09.10.2023;22:15:36
4;89,11;29;22.01.2023;10:38:47
1;21,16;28;06.05.2023;18:43:01
5;18,15;15;05.08.2023;22:57:38
9;83,37;24;12.08.2023;11:00:58
4;18,72;3;10.02.2023;11:44:58
2;36,00;5;01.06.2023;15:45:19
3;99,43;22;11.06.2023;20:23:58
1;95,37;5;05.03.2023;22:06:47
7;28,62;21;29.07.2023;10:47:44
5;142,55;1;09.01.2023;14:50:04
10;111,58;20;31.03.2023;15:53:31
7;146,47;10;30.03.2023;11:27:07
6;105,24;19;08.12.2023;14:22:14
4;91,25;12;14.03.2023;14:43:58
8;53,49;22;01.04.2023;15:00:32
3;59,16;2;19.01.2023;22:02:49
10;4,52;29;09.01.2023;14:06:43
6;196,68;16;27.11.2023;10:08:39
6;6,58;29;05.03.2023;16:48:17
2;14,14;10;10.10.2023;13:36:40
8;44,68;11;15.06.2023;15:12:44
4;127,14;25;24.10.2023;16:40:43
2;7,78;12;09.07.2023;20:09:29
2;82,65;12;29.05.2023;14:41:37
5;128,90;6;26.06.2023;22:17:40
7;106,19;31;25.02.2023;12:49:14
5;144,15;19;18.02.2023;22:42:57
5;25,29;12;09.08.2023;19:15:55
9;141,08;2;27.09.2023;13:51:11
9;71,04;26;07.02.2023;18:28:07
2;50,48;4;14.04.2023;22:35:21
7;84,42;17;18.01.2023;14:32:32
7;187,20;5;15.01.2023;19:01:18
5;87,68;18;05.03.2023;17:17:44
7;175,96;2;10.02.2023;10:32:05
2;87,00;25;08.11.2023;19:10:24
4;127,67;18;22.03.2023;15:58:43
3;115,82;11;13.02.2023;22:25:04
8;138,00;25;02.03.2023;15:22:31
9;142,14;22;23.02.2023;11:58:05
3;118,22;20;21.10.2023;21:12:16
1;2,96;14;25.07.2023;19:25:50
9;171,22;12;25.12.2023;18:19:24
2;117,20;21;27.03.2023;12:12:19
9;105,24;10;26.10.2023;13:12:11
1;130,42;13;02.05.2023;19:45:43
9;144,39;28;25.10.2023;14:33:20
10;52,82;22;02.07.2023;17:19:44
9;138,03;6;28.10.2023;18:12:40
8;17,26;27;24.04.2023;13:27:42
8;117,38;15;04.12.2023;11:32:15
